road_corridor,slope_deg,elevation_m,rainfall_1h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_clay_percent,distance_to_river_m,vegetation_ndvi,historical_incidents,road_quality,p_landslide_true,landslide_occurred,p_flood_true,flood_occurred,inundation_depth_cm,risk_multiplier
Guwahati-Jalukbari-Khanapara Urban,31.1,705.0,4.0,6.7,10.2,19.4,794.8,0.6,3,4,0.1303,0,0.0347,0,0.0,1.47
NH-27 (East-West Corridor),55.9,948.2,27.6,133.1,490.8,22.7,709.5,0.684,5,5,0.9462,1,0.2943,0,0.0,3.37
NH-27 (East-West Corridor),46.5,769.3,3.1,8.2,11.6,32.0,322.4,0.382,0,2,0.3086,0,0.0836,0,0.0,2.21
Guwahati-Jalukbari-Khanapara Urban,40.7,1006.7,2.2,2.7,3.3,41.0,1716.2,0.633,1,4,0.2455,0,0.0245,0,0.0,1.71
NH-37 (Silchar-Imphal),21.7,478.4,85.0,380.0,750.0,35.7,1053.9,0.149,1,3,0.5619,1,0.3004,1,101.7,3.51
Guwahati-Jalukbari-Khanapara Urban,21.7,1310.3,18.4,140.6,299.2,30.1,1605.7,0.361,1,3,0.537,0,0.2237,0,0.0,2.7
NH-27 (East-West Corridor),17.5,475.1,21.4,124.8,377.4,37.5,1715.9,0.468,3,1,0.513,1,0.2255,1,38.8,3.24
NH-27 (East-West Corridor),52.2,1830.7,0.1,0.1,0.3,48.6,1253.8,0.614,3,2,0.3805,1,0.0299,0,0.0,2.32
NH-06 (Guwahati-Shillong),40.8,782.4,0.6,1.5,2.5,48.6,612.7,0.706,7,2,0.3501,1,0.0481,0,0.0,2.27
NH-06 (Guwahati-Shillong),45.4,1349.0,1.5,42.4,185.2,44.0,904.4,0.565,3,5,0.8515,1,0.0386,0,0.0,2.91
NH-37 (Silchar-Imphal),15.9,1978.1,32.2,190.5,548.4,53.1,289.8,0.652,3,1,0.4861,1,0.5881,1,84.2,3.88
NH-06 (Guwahati-Shillong),56.7,1554.1,0.9,2.2,3.3,38.6,1045.8,0.521,5,3,0.4254,1,0.0307,0,0.0,2.27
NH-10 (Siliguri-Gangtok),50.8,1336.0,13.6,127.0,411.9,15.3,308.0,0.623,2,5,0.9252,1,0.4059,1,47.6,3.79
NH-10 (Siliguri-Gangtok),24.1,950.0,1.2,2.0,2.3,26.6,1097.2,0.613,0,3,0.0411,0,0.0293,0,0.0,1.42
NH-15 (North Bank Brahmaputra),22.8,966.1,10.1,93.1,267.2,28.1,358.7,0.458,2,3,0.5739,1,0.2464,1,42.7,3.13
NH-06 (Guwahati-Shillong),22.9,1588.6,5.2,61.5,204.9,36.9,250.0,0.486,3,3,0.5261,0,0.1592,0,0.0,2.62
NH-10 (Siliguri-Gangtok),28.1,2189.2,23.0,157.1,542.1,51.2,294.5,0.658,2,3,0.7477,1,0.5377,1,91.7,4.15
NH-15 (North Bank Brahmaputra),37.6,1574.4,41.7,175.2,473.8,48.5,151.6,0.876,5,3,0.9203,1,0.6715,1,128.8,4.66
NH-27 (East-West Corridor),33.6,1381.9,30.2,193.7,578.5,24.3,1164.8,0.767,5,4,0.8741,0,0.2706,1,46.5,3.69
Guwahati-Jalukbari-Khanapara Urban,27.5,1701.7,3.4,5.0,6.8,35.8,1204.6,0.347,0,3,0.0743,0,0.029,0,0.0,1.49
Guwahati-Jalukbari-Khanapara Urban,41.3,1210.6,2.1,2.2,3.4,41.4,728.8,0.347,2,3,0.301,0,0.0396,0,0.0,2.0
NH-10 (Siliguri-Gangtok),21.0,461.3,1.1,1.9,2.4,54.5,290.8,0.454,4,5,0.045,0,0.0789,0,0.0,1.18
NH-27 (East-West Corridor),27.6,1390.2,0.5,1.1,1.2,16.3,219.8,0.568,2,4,0.0725,0,0.0952,0,0.0,1.4
NH-27 (East-West Corridor),30.8,2121.6,13.6,111.1,344.0,33.6,165.5,0.559,3,3,0.8216,1,0.498,0,0.0,3.6
NH-06 (Guwahati-Shillong),34.6,674.3,1.5,3.7,4.5,54.5,295.0,0.773,0,3,0.1597,0,0.0867,0,0.0,1.74
NH-15 (North Bank Brahmaputra),48.8,1626.5,9.3,16.9,19.0,54.1,1922.1,0.783,5,4,0.419,0,0.0276,0,0.0,2.1
NH-15 (North Bank Brahmaputra),23.6,721.7,35.9,260.6,596.7,28.2,371.2,0.551,4,4,0.635,0,0.487,1,91.4,3.7
NH-27 (East-West Corridor),37.1,1341.3,53.8,297.7,750.0,15.0,499.9,0.509,1,2,0.8863,0,0.4399,0,0.0,3.84
NH-27 (East-West Corridor),40.5,528.9,3.5,5.4,8.0,38.5,239.1,0.643,5,4,0.3251,1,0.0955,0,0.0,1.96
NH-27 (East-West Corridor),17.0,1183.2,2.9,5.3,7.2,49.7,351.2,0.741,3,2,0.0307,0,0.0794,0,0.0,1.6
NH-15 (North Bank Brahmaputra),41.1,1748.9,0.7,1.2,1.6,28.0,735.9,0.649,3,3,0.2852,0,0.038,0,0.0,1.97
Guwahati-Jalukbari-Khanapara Urban,22.3,993.0,28.1,212.8,665.5,52.4,898.7,0.472,4,5,0.6164,0,0.3027,0,0.0,2.66
NH-10 (Siliguri-Gangtok),17.8,1580.1,0.3,0.4,0.7,28.3,375.2,0.44,3,2,0.0321,0,0.0707,0,0.0,1.59
NH-06 (Guwahati-Shillong),55.8,1821.6,45.6,221.9,537.4,39.4,197.6,0.35,4,2,0.957,1,0.6444,0,0.0,4.19
NH-06 (Guwahati-Shillong),56.5,2065.3,3.6,9.9,16.0,43.9,546.8,0.585,3,2,0.405,0,0.0549,0,0.0,2.4
NH-06 (Guwahati-Shillong),49.8,784.1,0.7,1.8,3.0,28.8,363.5,0.662,4,3,0.3652,0,0.0695,0,0.0,2.17
NH-37 (Silchar-Imphal),28.1,1088.7,62.8,380.0,750.0,29.1,348.3,0.682,2,2,0.7392,0,0.5291,0,0.0,3.6
NH-10 (Siliguri-Gangtok),19.2,632.0,3.1,6.0,9.9,33.8,2722.4,0.757,4,3,0.036,0,0.0246,0,0.0,1.4
Guwahati-Jalukbari-Khanapara Urban,44.4,2186.1,5.6,11.2,20.0,48.4,916.3,0.816,4,4,0.352,1,0.034,1,33.1,2.21
NH-15 (North Bank Brahmaputra),33.9,2065.0,3.0,4.6,7.0,19.0,801.1,0.303,3,5,0.1816,0,0.0323,0,0.0,1.43
